Acquisition settings,Timeframe,Data Rate,Full Scale,Enabled Axes
,1 min,100 Hz,±2 g,Z
Date,Time,Acc_X [g],Acc_Y [g],Acc_Z [g],Temperature [°C],Humidity [%]
2025-09-10,13:52:11.745998,"0,000","0,000","1,019","42,73","45,49"
2025-09-10,13:52:11.746451,"0,000","0,000","1,050","42,73","45,49"
2025-09-10,13:52:11.776734,"0,000","0,000","1,074","42,73","45,49"
2025-09-10,13:52:11.776832,"0,000","0,000","1,043","42,73","45,49"
2025-09-10,13:52:11.776865,"0,000","0,000","1,007","42,73","45,49"
2025-09-10,13:52:11.805123,"0,000","0,000","1,038","42,73","45,49"
2025-09-10,13:52:11.805217,"0,000","0,000","1,066","42,73","45,49"
2025-09-10,13:52:11.805249,"0,000","0,000","1,040","42,73","45,49"
2025-09-10,13:52:11.836496,"0,000","0,000","0,989","42,73","45,49"
2025-09-10,13:52:11.836576,"0,000","0,000","1,029","42,73","45,49"
2025-09-10,13:52:11.836609,"0,000","0,000","1,057","42,73","45,49"
2025-09-10,13:52:11.865820,"0,000","0,000","1,032","42,73","45,49"
2025-09-10,13:52:11.865909,"0,000","0,000","0,982","42,73","45,49"
2025-09-10,13:52:11.865941,"0,000","0,000","1,021","42,73","45,49"
2025-09-10,13:52:11.897393,"0,000","0,000","1,040","42,73","45,49"
2025-09-10,13:52:11.897479,"0,000","0,000","1,045","42,73","45,49"
2025-09-10,13:52:11.897511,"0,000","0,000","0,990","42,73","45,49"
2025-09-10,13:52:11.926986,"0,000","0,000","1,023","42,73","45,49"
2025-09-10,13:52:11.927057,"0,000","0,000","1,042","42,73","45,49"
2025-09-10,13:52:11.927088,"0,000","0,000","1,054","42,73","45,49"
2025-09-10,13:52:11.958321,"0,000","0,000","0,971","42,73","45,49"
2025-09-10,13:52:11.958412,"0,000","0,000","0,995","42,73","45,49"
2025-09-10,13:52:11.958443,"0,000","0,000","1,004","42,73","45,49"
2025-09-10,13:52:11.990619,"0,000","0,000","0,985","42,73","45,49"
2025-09-10,13:52:11.990712,"0,000","0,000","0,948","42,73","45,49"
2025-09-10,13:52:11.990744,"0,000","0,000","0,945","42,73","45,49"
