Acquisition settings,Timeframe,Data Rate,Full Scale,Enabled Axes
,1 min,100 Hz,±16 g,X Y Z
Date,Time,Acc_X [g],Acc_Y [g],Acc_Z [g],Temperature [°C],Humidity [%]
2025-09-10,13:58:04.457183,"0,000","0,000","0,984","42,68","45,42"
2025-09-10,13:58:04.487897,"0,000","0,000","1,011","42,68","45,42"
2025-09-10,13:58:04.487995,"0,000","0,000","1,003","42,68","45,42"
2025-09-10,13:58:04.488029,"0,000","0,000","0,987","42,68","45,42"
2025-09-10,13:58:04.518175,"0,000","0,000","1,006","42,68","45,42"
2025-09-10,13:58:04.518267,"0,000","0,000","1,062","42,68","45,42"
2025-09-10,13:58:04.518300,"0,000","0,000","1,081","42,68","45,42"
2025-09-10,13:58:04.548513,"0,000","0,000","1,051","42,68","45,42"
2025-09-10,13:58:04.548602,"0,000","0,000","1,049","42,68","45,42"
2025-09-10,13:58:04.548640,"0,000","0,000","1,075","42,68","45,42"
2025-09-10,13:58:04.577911,"0,000","0,000","1,082","42,68","45,42"
2025-09-10,13:58:04.578064,"0,000","0,000","1,023","42,68","45,42"
2025-09-10,13:58:04.578135,"0,000","0,000","1,013","42,68","45,42"
2025-09-10,13:58:04.608584,"0,000","0,000","1,065","42,68","45,42"
2025-09-10,13:58:04.608702,"0,000","0,000","1,060","42,68","45,42"
2025-09-10,13:58:04.608750,"0,000","0,000","1,018","42,68","45,42"
2025-09-10,13:58:04.640180,"0,000","0,000","1,010","42,68","45,42"
2025-09-10,13:58:04.640285,"0,000","0,000","1,053","42,68","45,42"
2025-09-10,13:58:04.640317,"0,000","0,000","1,044","42,68","45,42"
2025-09-10,13:58:04.670112,"0,000","0,000","1,001","42,68","45,42"
2025-09-10,13:58:04.670211,"0,000","0,000","0,991","42,68","45,42"
2025-09-10,13:58:04.670242,"0,000","0,000","1,035","42,68","45,42"
2025-09-10,13:58:04.699742,"0,000","0,000","1,042","42,68","45,42"
2025-09-10,13:58:04.699840,"0,000","0,000","1,037","42,68","45,42"
2025-09-10,13:58:04.699873,"0,000","0,000","0,999","42,68","45,42"
2025-09-10,13:58:04.730678,"0,000","0,000","1,027","42,68","45,42"
2025-09-10,13:58:04.730781,"0,000","0,000","1,030","42,68","45,42"
2025-09-10,13:58:04.730815,"0,000","0,000","1,005","42,68","45,42"
2025-09-10,13:58:04.760900,"0,000","0,000","0,989","42,68","45,42"
2025-09-10,13:58:04.760995,"0,000","0,000","1,029","42,68","45,42"
2025-09-10,13:58:04.761028,"0,000","0,000","1,019","42,68","45,42"
2025-09-10,13:58:04.792481,"0,000","0,000","1,031","42,68","45,42"
2025-09-10,13:58:04.792565,"0,000","0,000","0,973","42,68","45,42"
2025-09-10,13:58:04.792598,"0,000","0,000","1,031","42,68","45,42"
2025-09-10,13:58:04.823066,"0,000","0,000","1,037","42,68","45,42"
2025-09-10,13:58:04.823184,"0,000","0,000","1,045","42,68","45,42"
2025-09-10,13:58:04.823219,"0,000","0,000","1,020","42,68","45,42"
2025-09-10,13:58:04.852857,"0,000","0,000","1,066","42,68","45,42"
2025-09-10,13:58:04.852955,"0,000","0,000","1,071","42,68","45,42"
2025-09-10,13:58:04.852988,"0,000","0,000","1,062","42,68","45,42"
2025-09-10,13:58:04.884932,"0,000","0,000","1,012","42,68","45,42"
2025-09-10,13:58:04.885031,"0,000","0,000","1,046","42,68","45,42"
2025-09-10,13:58:04.885064,"0,000","0,000","1,044","42,68","45,42"
2025-09-10,13:58:04.913939,"0,000","0,000","1,030","42,68","45,42"
2025-09-10,13:58:04.914109,"0,000","0,000","0,993","42,68","45,42"
