Acquisition settings,Timeframe,Data Rate,Full Scale,Enabled Axes
,1 min,100 Hz,±2 g,Z
Date,Time,Acc_X [g],Acc_Y [g],Acc_Z [g],Temperature [°C],Humidity [%]
2025-09-10,12:16:39.889864,"0,000","0,000","0,973","61,02","70,12"
2025-09-10,12:16:39.890003,"0,000","0,000","0,921","61,02","70,12"
2025-09-10,12:16:39.890041,"0,000","0,000","0,926","61,02","70,12"
2025-09-10,12:16:39.918367,"0,000","0,000","0,957","61,02","70,12"
2025-09-10,12:16:39.918461,"0,000","0,000","0,980","61,02","70,12"
2025-09-10,12:16:39.918493,"0,000","0,000","0,938","61,02","70,12"
2025-09-10,12:16:39.949726,"0,000","0,000","0,950","61,02","70,12"
2025-09-10,12:16:39.949838,"0,000","0,000","0,972","61,02","70,12"
2025-09-10,12:16:39.949870,"0,000","0,000","0,986","61,02","70,12"
2025-09-10,12:16:39.980297,"0,000","0,000","0,936","61,02","70,12"
2025-09-10,12:16:39.980394,"0,000","0,000","0,950","61,02","70,12"
2025-09-10,12:16:39.980427,"0,000","0,000","0,987","61,02","70,12"
2025-09-10,12:16:40.011156,"0,000","0,000","1,012","61,02","70,12"
2025-09-10,12:16:40.011258,"0,000","0,000","0,960","61,02","70,12"
2025-09-10,12:16:40.011298,"0,000","0,000","0,956","61,02","70,12"
2025-09-10,12:16:40.041059,"0,000","0,000","0,971","61,02","70,12"
2025-09-10,12:16:40.041171,"0,000","0,000","1,027","61,02","70,12"
2025-09-10,12:16:40.041204,"0,000","0,000","0,987","61,02","70,12"
2025-09-10,12:16:40.071082,"0,000","0,000","0,979","61,02","70,12"
2025-09-10,12:16:40.071221,"0,000","0,000","1,033","61,02","70,12"
2025-09-10,12:16:40.071302,"0,000","0,000","1,040","61,02","70,12"
2025-09-10,12:16:40.101534,"0,000","0,000","1,009","61,02","70,12"
2025-09-10,12:16:40.101614,"0,000","0,000","0,993","61,02","70,12"
2025-09-10,12:16:40.101647,"0,000","0,000","1,026","61,02","70,12"
2025-09-10,12:16:40.133883,"0,000","0,000","1,029","61,02","70,12"
2025-09-10,12:16:40.133965,"0,000","0,000","1,003","61,02","70,12"
2025-09-10,12:16:40.133997,"0,000","0,000","0,964","61,02","70,12"
2025-09-10,12:16:40.134026,"0,000","0,000","0,997","61,02","70,12"
2025-09-10,12:16:40.163237,"0,000","0,000","1,020","61,02","70,12"
2025-09-10,12:16:40.163328,"0,000","0,000","0,992","61,02","70,12"
2025-09-10,12:16:40.163360,"0,000","0,000","0,961","61,02","70,12"
2025-09-10,12:16:40.193579,"0,000","0,000","0,988","61,02","70,12"
2025-09-10,12:16:40.193683,"0,000","0,000","1,008","61,02","70,12"
2025-09-10,12:16:40.193714,"0,000","0,000","0,958","61,02","70,12"
2025-09-10,12:16:40.222924,"0,000","0,000","0,951","61,02","70,12"
2025-09-10,12:16:40.223021,"0,000","0,000","0,985","61,02","70,12"
