Acquisition settings,Timeframe,Data Rate,Full Scale,Enabled Axes
,1 min,100 Hz,±2 g,Z
Date,Time,Acc_X [g],Acc_Y [g],Acc_Z [g],Temperature [°C],Humidity [%]
2025-09-10,11:49:13.940706,"0,000","0,000","1,118","60,45","20,27"
2025-09-10,11:49:13.940835,"0,000","0,000","1,085","60,45","20,27"
2025-09-10,11:49:13.940872,"0,000","0,000","1,084","60,45","20,27"
2025-09-10,11:49:13.970091,"0,000","0,000","1,134","60,45","20,27"
2025-09-10,11:49:13.970178,"0,000","0,000","1,129","60,45","20,27"
2025-09-10,11:49:13.970210,"0,000","0,000","1,102","60,45","20,27"
2025-09-10,11:49:13.999693,"0,000","0,000","1,100","60,45","20,27"
2025-09-10,11:49:13.999805,"0,000","0,000","1,136","60,45","20,27"
2025-09-10,11:49:13.999843,"0,000","0,000","1,133","60,45","20,27"
2025-09-10,11:49:14.031767,"0,000","0,000","1,077","60,45","20,27"
2025-09-10,11:49:14.031856,"0,000","0,000","1,068","60,45","20,27"
2025-09-10,11:49:14.031888,"0,000","0,000","1,098","60,45","20,27"
2025-09-10,11:49:14.061394,"0,000","0,000","1,094","60,45","20,27"
2025-09-10,11:49:14.061498,"0,000","0,000","1,046","60,45","20,27"
2025-09-10,11:49:14.061530,"0,000","0,000","1,024","60,45","20,27"
2025-09-10,11:49:14.091296,"0,000","0,000","1,061","60,45","20,27"
2025-09-10,11:49:14.091396,"0,000","0,000","1,071","60,45","20,27"
2025-09-10,11:49:14.091428,"0,000","0,000","1,003","60,45","20,27"
2025-09-10,11:49:14.122623,"0,000","0,000","1,021","60,45","20,27"
2025-09-10,11:49:14.122718,"0,000","0,000","1,053","60,45","20,27"
2025-09-10,11:49:14.122778,"0,000","0,000","1,071","60,45","20,27"
2025-09-10,11:49:14.151749,"0,000","0,000","1,013","60,45","20,27"
2025-09-10,11:49:14.151833,"0,000","0,000","1,029","60,45","20,27"
2025-09-10,11:49:14.151864,"0,000","0,000","1,070","60,45","20,27"
2025-09-10,11:49:14.183961,"0,000","0,000","1,108","60,45","20,27"
2025-09-10,11:49:14.184080,"0,000","0,000","1,063","60,45","20,27"
2025-09-10,11:49:14.184112,"0,000","0,000","1,064","60,45","20,27"
2025-09-10,11:49:14.184142,"0,000","0,000","1,095","60,45","20,27"
2025-09-10,11:49:14.214449,"0,000","0,000","1,128","60,45","20,27"
2025-09-10,11:49:14.214592,"0,000","0,000","1,085","60,45","20,27"
2025-09-10,11:49:14.214654,"0,000","0,000","1,091","60,45","20,27"
2025-09-10,11:49:14.243315,"0,000","0,000","1,123","60,45","20,27"
2025-09-10,11:49:14.243419,"0,000","0,000","1,151","60,45","20,27"
2025-09-10,11:49:14.243451,"0,000","0,000","1,117","60,45","20,27"
2025-09-10,11:49:14.276666,"0,000","0,000","1,090","60,45","20,27"
2025-09-10,11:49:14.276771,"0,000","0,000","1,108","60,45","20,27"
2025-09-10,11:49:14.276803,"0,000","0,000","1,116","60,45","20,27"
2025-09-10,11:49:14.305996,"0,000","0,000","1,077","60,45","20,27"
2025-09-10,11:49:14.306093,"0,000","0,000","1,045","60,45","20,27"
2025-09-10,11:49:14.306124,"0,000","0,000","1,066","60,45","20,27"
2025-09-10,11:49:14.336333,"0,000","0,000","1,105","60,45","20,27"
2025-09-10,11:49:14.336418,"0,000","0,000","1,089","60,45","20,27"
2025-09-10,11:49:14.336448,"0,000","0,000","1,045","60,45","20,27"
2025-09-10,11:49:14.366741,"0,000","0,000","1,078","60,45","20,27"
2025-09-10,11:49:14.366890,"0,000","0,000","1,072","60,45","20,27"
2025-09-10,11:49:14.366956,"0,000","0,000","1,072","60,45","20,27"
2025-09-10,11:49:14.396246,"0,000","0,000","1,018","60,45","20,27"
2025-09-10,11:49:14.396396,"0,000","0,000","1,046","60,45","20,27"
2025-09-10,11:49:14.396464,"0,000","0,000","1,074","60,45","20,27"
2025-09-10,11:49:14.428768,"0,000","0,000","1,061","60,45","20,27"
2025-09-10,11:49:14.428915,"0,000","0,000","1,038","60,45","20,27"
2025-09-10,11:49:14.428983,"0,000","0,000","1,061","60,45","20,27"
2025-09-10,11:49:14.457781,"0,000","0,000","1,098","60,45","20,27"
2025-09-10,11:49:14.457939,"0,000","0,000","1,084","60,45","20,27"
2025-09-10,11:49:14.458019,"0,000","0,000","1,081","60,45","20,27"
2025-09-10,11:49:14.488306,"0,000","0,000","1,081","60,45","20,27"
2025-09-10,11:49:14.488442,"0,000","0,000","1,132","60,45","20,27"
2025-09-10,11:49:14.488505,"0,000","0,000","1,110","60,45","20,27"
2025-09-10,11:49:14.517843,"0,000","0,000","1,092","60,45","20,27"
2025-09-10,11:49:14.517969,"0,000","0,000","1,109","60,45","20,27"
2025-09-10,11:49:14.518026,"0,000","0,000","1,161","60,45","20,27"
2025-09-10,11:49:14.548370,"0,000","0,000","1,125","60,45","20,27"
2025-09-10,11:49:14.548493,"0,000","0,000","1,103","60,45","20,27"
2025-09-10,11:49:14.548548,"0,000","0,000","1,083","60,45","20,27"
2025-09-10,11:49:14.579818,"0,000","0,000","1,123","60,45","20,27"
2025-09-10,11:49:14.579944,"0,000","0,000","1,100","60,45","20,27"
2025-09-10,11:49:14.580000,"0,000","0,000","1,091","60,45","20,27"
2025-09-10,11:49:14.609985,"0,000","0,000","1,072","60,45","20,27"
2025-09-10,11:49:14.610066,"0,000","0,000","1,097","60,45","20,27"
2025-09-10,11:49:14.610094,"0,000","0,000","1,067","60,45","20,27"
2025-09-10,11:49:14.640356,"0,000","0,000","1,047","60,45","20,27"
2025-09-10,11:49:14.640486,"0,000","0,000","1,021","60,45","20,27"
2025-09-10,11:49:14.640543,"0,000","0,000","1,082","60,45","20,27"
2025-09-10,11:49:14.669829,"0,000","0,000","1,053","60,45","20,27"
2025-09-10,11:49:14.669947,"0,000","0,000","1,023","60,45","20,27"
2025-09-10,11:49:14.670002,"0,000","0,000","1,011","60,45","20,27"
2025-09-10,11:49:14.699726,"0,000","0,000","1,066","60,45","20,27"
2025-09-10,11:49:14.699864,"0,000","0,000","1,054","60,45","20,27"
2025-09-10,11:49:14.699926,"0,000","0,000","1,028","60,45","20,27"
2025-09-10,11:49:14.732241,"0,000","0,000","1,024","60,45","20,27"
2025-09-10,11:49:14.732373,"0,000","0,000","1,080","60,45","20,27"
2025-09-10,11:49:14.732433,"0,000","0,000","1,092","60,45","20,27"
2025-09-10,11:49:14.762727,"0,000","0,000","1,052","60,45","20,27"
2025-09-10,11:49:14.762856,"0,000","0,000","1,059","60,45","20,27"
2025-09-10,11:49:14.762912,"0,000","0,000","1,126","60,45","20,27"
2025-09-10,11:49:14.792205,"0,000","0,000","1,130","60,45","20,27"
2025-09-10,11:49:14.792341,"0,000","0,000","1,094","60,45","20,27"
2025-09-10,11:49:14.792398,"0,000","0,000","1,083","60,45","20,27"
2025-09-10,11:49:14.821259,"0,000","0,000","1,146","60,45","20,27"
2025-09-10,11:49:14.821357,"0,000","0,000","1,153","60,45","20,27"
2025-09-10,11:49:14.821386,"0,000","0,000","1,102","60,45","20,27"
2025-09-10,11:49:14.851563,"0,000","0,000","1,093","60,45","20,27"
2025-09-10,11:49:14.851721,"0,000","0,000","1,126","60,45","20,27"
2025-09-10,11:49:14.851784,"0,000","0,000","1,136","60,45","20,27"
2025-09-10,11:49:14.883193,"0,000","0,000","1,084","60,45","20,27"
