Acquisition settings,Timeframe,Data Rate,Full Scale,Enabled Axes
,1 min,100 Hz,±2 g,Z
Date,Time,Acc_X [g],Acc_Y [g],Acc_Z [g],Temperature [°C],Humidity [%]
2025-09-10,13:33:14.611834,"0,000","0,000","0,984","25,15","71,01"
2025-09-10,13:33:14.612043,"0,000","0,000","1,014","25,15","71,01"
2025-09-10,13:33:14.612096,"0,000","0,000","1,010","25,15","71,01"
2025-09-10,13:33:14.641342,"0,000","0,000","0,938","25,15","71,01"
2025-09-10,13:33:14.641455,"0,000","0,000","1,004","25,15","71,01"
2025-09-10,13:33:14.671451,"0,000","0,000","1,037","25,15","71,01"
2025-09-10,13:33:14.671565,"0,000","0,000","1,013","25,15","71,01"
2025-09-10,13:33:14.671614,"0,000","0,000","0,978","25,15","71,01"
2025-09-10,13:33:14.701292,"0,000","0,000","1,010","25,15","71,01"
2025-09-10,13:33:14.701460,"0,000","0,000","1,036","25,15","71,01"
2025-09-10,13:33:14.701530,"0,000","0,000","1,031","25,15","71,01"
2025-09-10,13:33:14.731827,"0,000","0,000","1,031","25,15","71,01"
2025-09-10,13:33:14.731971,"0,000","0,000","1,044","25,15","71,01"
2025-09-10,13:33:14.732035,"0,000","0,000","1,069","25,15","71,01"
2025-09-10,13:33:14.732096,"0,000","0,000","1,038","25,15","71,01"
2025-09-10,13:33:14.763364,"0,000","0,000","1,032","25,15","71,01"
2025-09-10,13:33:14.763491,"0,000","0,000","1,018","25,15","71,01"
2025-09-10,13:33:14.763555,"0,000","0,000","1,052","25,15","71,01"
2025-09-10,13:33:14.793803,"0,000","0,000","1,001","25,15","71,01"
2025-09-10,13:33:14.793927,"0,000","0,000","1,002","25,15","71,01"
2025-09-10,13:33:14.793986,"0,000","0,000","1,005","25,15","71,01"
2025-09-10,13:33:14.823283,"0,000","0,000","1,056","25,15","71,01"
2025-09-10,13:33:14.823436,"0,000","0,000","0,999","25,15","71,01"
2025-09-10,13:33:14.823505,"0,000","0,000","0,968","25,15","71,01"
2025-09-10,13:33:14.853702,"0,000","0,000","0,964","25,15","71,01"
2025-09-10,13:33:14.853786,"0,000","0,000","1,020","25,15","71,01"
2025-09-10,13:33:14.853818,"0,000","0,000","0,986","25,15","71,01"
2025-09-10,13:33:14.883047,"0,000","0,000","0,939","25,15","71,01"
2025-09-10,13:33:14.883173,"0,000","0,000","0,965","25,15","71,01"
2025-09-10,13:33:14.883234,"0,000","0,000","0,996","25,15","71,01"
2025-09-10,13:33:14.915500,"0,000","0,000","0,967","25,15","71,01"
2025-09-10,13:33:14.915639,"0,000","0,000","0,952","25,15","71,01"
2025-09-10,13:33:14.915705,"0,000","0,000","0,954","25,15","71,01"
