Acquisition settings,Timeframe,Data Rate,Full Scale,Enabled Axes
,1 min,100 Hz,±2 g,Z
Date,Time,Acc_X [g],Acc_Y [g],Acc_Z [g],Temperature [°C],Humidity [%]
2025-09-10,10:49:24.324337,"0,000","0,000","1,043","25,92","20,49"
2025-09-10,10:49:24.354641,"0,000","0,000","1,041","25,92","20,49"
2025-09-10,10:49:24.354732,"0,000","0,000","1,027","25,92","20,49"
2025-09-10,10:49:24.354765,"0,000","0,000","0,990","25,92","20,49"
2025-09-10,10:49:24.384035,"0,000","0,000","0,996","25,92","20,49"
2025-09-10,10:49:24.384172,"0,000","0,000","1,026","25,92","20,49"
2025-09-10,10:49:24.384221,"0,000","0,000","1,016","25,92","20,49"
2025-09-10,10:49:24.414501,"0,000","0,000","0,997","25,92","20,49"
2025-09-10,10:49:24.414585,"0,000","0,000","0,990","25,92","20,49"
2025-09-10,10:49:24.414616,"0,000","0,000","1,004","25,92","20,49"
2025-09-10,10:49:24.445834,"0,000","0,000","1,019","25,92","20,49"
2025-09-10,10:49:24.445931,"0,000","0,000","0,973","25,92","20,49"
2025-09-10,10:49:24.445963,"0,000","0,000","0,979","25,92","20,49"
2025-09-10,10:49:24.475676,"0,000","0,000","1,021","25,92","20,49"
2025-09-10,10:49:24.475773,"0,000","0,000","1,033","25,92","20,49"
2025-09-10,10:49:24.475805,"0,000","0,000","1,015","25,92","20,49"
2025-09-10,10:49:24.506015,"0,000","0,000","0,999","25,92","20,49"
2025-09-10,10:49:24.506105,"0,000","0,000","1,026","25,92","20,49"
2025-09-10,10:49:24.506136,"0,000","0,000","1,026","25,92","20,49"
2025-09-10,10:49:24.536353,"0,000","0,000","1,005","25,92","20,49"
2025-09-10,10:49:24.536465,"0,000","0,000","1,005","25,92","20,49"
2025-09-10,10:49:24.536499,"0,000","0,000","1,010","25,92","20,49"
2025-09-10,10:49:24.566791,"0,000","0,000","1,026","25,92","20,49"
2025-09-10,10:49:24.566953,"0,000","0,000","1,019","25,92","20,49"
2025-09-10,10:49:24.567021,"0,000","0,000","1,017","25,92","20,49"
2025-09-10,10:49:24.597904,"0,000","0,000","1,057","25,92","20,49"
2025-09-10,10:49:24.598031,"0,000","0,000","1,030","25,92","20,49"
2025-09-10,10:49:24.598181,"0,000","0,000","1,005","25,92","20,49"
2025-09-10,10:49:24.627972,"0,000","0,000","0,982","25,92","20,49"
2025-09-10,10:49:24.628081,"0,000","0,000","1,036","25,92","20,49"
2025-09-10,10:49:24.628113,"0,000","0,000","1,041","25,92","20,49"
2025-09-10,10:49:24.657745,"0,000","0,000","1,027","25,92","20,49"
2025-09-10,10:49:24.657896,"0,000","0,000","0,987","25,92","20,49"
2025-09-10,10:49:24.657964,"0,000","0,000","1,028","25,92","20,49"
2025-09-10,10:49:24.688169,"0,000","0,000","1,043","25,92","20,49"
2025-09-10,10:49:24.688225,"0,000","0,000","0,999","25,92","20,49"
2025-09-10,10:49:24.688239,"0,000","0,000","0,961","25,92","20,49"
2025-09-10,10:49:24.718072,"0,000","0,000","1,016","25,92","20,49"
2025-09-10,10:49:24.718201,"0,000","0,000","1,033","25,92","20,49"
2025-09-10,10:49:24.718250,"0,000","0,000","1,007","25,92","20,49"
2025-09-10,10:49:24.750523,"0,000","0,000","0,960","25,92","20,49"
2025-09-10,10:49:24.750661,"0,000","0,000","1,029","25,92","20,49"
2025-09-10,10:49:24.750728,"0,000","0,000","1,036","25,92","20,49"
2025-09-10,10:49:24.750789,"0,000","0,000","0,994","25,92","20,49"
2025-09-10,10:49:24.779101,"0,000","0,000","0,934","25,92","20,49"
2025-09-10,10:49:24.779261,"0,000","0,000","0,998","25,92","20,49"
2025-09-10,10:49:24.810528,"0,000","0,000","1,026","25,92","20,49"
2025-09-10,10:49:24.810628,"0,000","0,000","1,007","25,92","20,49"
2025-09-10,10:49:24.810664,"0,000","0,000","0,986","25,92","20,49"
2025-09-10,10:49:24.810698,"0,000","0,000","1,024","25,92","20,49"
2025-09-10,10:49:24.839750,"0,000","0,000","1,032","25,92","20,49"
2025-09-10,10:49:24.839849,"0,000","0,000","1,016","25,92","20,49"
2025-09-10,10:49:24.870148,"0,000","0,000","1,012","25,92","20,49"
2025-09-10,10:49:24.870318,"0,000","0,000","1,019","25,92","20,49"
2025-09-10,10:49:24.870382,"0,000","0,000","1,051","25,92","20,49"
2025-09-10,10:49:24.902701,"0,000","0,000","1,041","25,92","20,49"
2025-09-10,10:49:24.902839,"0,000","0,000","1,024","25,92","20,49"
2025-09-10,10:49:24.902904,"0,000","0,000","1,025","25,92","20,49"
2025-09-10,10:49:24.903001,"0,000","0,000","1,061","25,92","20,49"
2025-09-10,10:49:24.932325,"0,000","0,000","1,027","25,92","20,49"
2025-09-10,10:49:24.932457,"0,000","0,000","1,027","25,92","20,49"
2025-09-10,10:49:24.932517,"0,000","0,000","1,004","25,92","20,49"
2025-09-10,10:49:24.961725,"0,000","0,000","1,029","25,92","20,49"
2025-09-10,10:49:24.961811,"0,000","0,000","1,025","25,92","20,49"
2025-09-10,10:49:24.961838,"0,000","0,000","1,012","25,92","20,49"
2025-09-10,10:49:24.994128,"0,000","0,000","1,014","25,92","20,49"
2025-09-10,10:49:24.994262,"0,000","0,000","1,028","25,92","20,49"
2025-09-10,10:49:24.994321,"0,000","0,000","1,016","25,92","20,49"
2025-09-10,10:49:25.024593,"0,000","0,000","0,985","25,92","20,49"
2025-09-10,10:49:25.024717,"0,000","0,000","0,984","25,92","20,49"
2025-09-10,10:49:25.024773,"0,000","0,000","1,011","25,92","20,49"
2025-09-10,10:49:25.054077,"0,000","0,000","0,974","25,92","20,49"
2025-09-10,10:49:25.054203,"0,000","0,000","0,956","25,92","20,49"
2025-09-10,10:49:25.054262,"0,000","0,000","0,977","25,92","20,49"
2025-09-10,10:49:25.084533,"0,000","0,000","1,027","25,92","20,49"
2025-09-10,10:49:25.084653,"0,000","0,000","0,991","25,92","20,49"
2025-09-10,10:49:25.084709,"0,000","0,000","0,957","25,92","20,49"
2025-09-10,10:49:25.113954,"0,000","0,000","0,973","25,92","20,49"
2025-09-10,10:49:25.114059,"0,000","0,000","1,032","25,92","20,49"
2025-09-10,10:49:25.114113,"0,000","0,000","1,002","25,92","20,49"
2025-09-10,10:49:25.146390,"0,000","0,000","0,946","25,92","20,49"
2025-09-10,10:49:25.146517,"0,000","0,000","0,964","25,92","20,49"
2025-09-10,10:49:25.146573,"0,000","0,000","1,021","25,92","20,49"
2025-09-10,10:49:25.175745,"0,000","0,000","1,002","25,92","20,49"
2025-09-10,10:49:25.175811,"0,000","0,000","0,960","25,92","20,49"
2025-09-10,10:49:25.175837,"0,000","0,000","0,976","25,92","20,49"
2025-09-10,10:49:25.206091,"0,000","0,000","1,031","25,92","20,49"
2025-09-10,10:49:25.206214,"0,000","0,000","1,008","25,92","20,49"
2025-09-10,10:49:25.206289,"0,000","0,000","0,963","25,92","20,49"
2025-09-10,10:49:25.236579,"0,000","0,000","0,982","25,92","20,49"
